2016-03-22 16:29:56.063	DEBUG	send_error | 0
2016-03-22 16:29:57.146	DEBUG	assigned(_SQuery)
2016-03-22 16:29:58.152	DEBUG	assigned(_SQuery)
2016-03-22 16:29:59.162	DEBUG	assigned(_SQuery)
2016-03-22 16:30:00.168	DEBUG	assigned(_SQuery)
2016-03-22 16:30:01.178	DEBUG	assigned(_SQuery)
2016-03-22 16:30:01.192	DEBUG	send_error | 0
2016-03-22 16:30:02.248	DEBUG	assigned(_SQuery)
2016-03-22 16:30:03.255	DEBUG	assigned(_SQuery)
2016-03-22 16:30:04.261	DEBUG	assigned(_SQuery)
2016-03-22 16:30:05.266	DEBUG	assigned(_SQuery)
2016-03-22 16:30:05.275	DEBUG	send_error | 0
2016-03-22 16:30:06.332	DEBUG	assigned(_SQuery)
2016-03-22 16:30:07.335	DEBUG	assigned(_SQuery)
2016-03-22 16:30:08.339	DEBUG	assigned(_SQuery)
2016-03-22 16:30:09.343	DEBUG	assigned(_SQuery)
2016-03-22 16:30:09.355	DEBUG	send_error | 0
2016-03-22 16:30:10.409	DEBUG	assigned(_SQuery)
2016-03-22 16:30:11.412	DEBUG	assigned(_SQuery)
2016-03-22 16:30:12.417	DEBUG	assigned(_SQuery)
2016-03-22 16:30:13.427	DEBUG	assigned(_SQuery)
2016-03-22 16:30:13.434	DEBUG	send_error | 0
2016-03-22 16:30:14.489	DEBUG	assigned(_SQuery)
2016-03-22 16:30:15.493	DEBUG	assigned(_SQuery)
2016-03-22 16:30:16.499	DEBUG	assigned(_SQuery)
2016-03-22 16:30:17.502	DEBUG	assigned(_SQuery)
2016-03-22 16:30:17.523	DEBUG	send_error | 0
2016-03-22 16:30:18.579	DEBUG	assigned(_SQuery)
2016-03-22 16:30:19.583	DEBUG	assigned(_SQuery)
2016-03-22 16:30:20.590	DEBUG	assigned(_SQuery)
2016-03-22 16:30:21.595	DEBUG	assigned(_SQuery)
2016-03-22 16:30:22.601	DEBUG	assigned(_SQuery)
2016-03-22 16:30:22.607	DEBUG	send_error | 0
2016-03-22 16:30:23.660	DEBUG	assigned(_SQuery)
2016-03-22 16:30:24.665	DEBUG	assigned(_SQuery)
2016-03-22 16:30:25.671	DEBUG	assigned(_SQuery)
2016-03-22 16:30:26.674	DEBUG	assigned(_SQuery)
2016-03-22 16:30:26.680	DEBUG	send_error | 0
2016-03-22 16:30:27.731	DEBUG	assigned(_SQuery)
2016-03-22 16:30:28.738	DEBUG	assigned(_SQuery)
2016-03-22 16:30:29.745	DEBUG	assigned(_SQuery)
2016-03-22 16:30:30.749	DEBUG	assigned(_SQuery)
2016-03-22 16:30:30.756	DEBUG	send_error | 0
2016-03-22 16:30:31.847	DEBUG	assigned(_SQuery)
2016-03-22 16:30:32.855	DEBUG	assigned(_SQuery)
2016-03-22 16:30:33.861	DEBUG	assigned(_SQuery)
2016-03-22 16:30:34.867	DEBUG	assigned(_SQuery)
2016-03-22 16:30:34.874	DEBUG	send_error | 0
2016-03-22 16:30:35.931	DEBUG	assigned(_SQuery)
